PRODUCT_CODE,PRODUCT_NAME,PRODUCT_CONC_NAME
7401,Non Performing Mortgage Loans LCY,Non Performi
7501,Corporate non-performing loanLCY,Corporate no
7502,Corporate non-performing loanFCY,Corporate no
7601,SME Non-perfoming loanLCY,SME Non-perf
7602,SME Non-perfoming loan FCY,SME Non-perf
7701,Retail upgrade accountLCY,Retail upgra
7702,Retail upgrade accountFCY,Retail upgra
7801,Nostro FCA Exports LCY,Corporate up
7802,Nostro FCA Exports,Corporate up
6901,Individual Unauth OD LCY,Ind Un OD
5901,Visa Suspense FCY,VISSUS
8201,Mobile Banking Suspense LCY,MOBSUS
8301,Leasing Collection Suspense LCY,LEASE
8401,XPlug Suspense LCY,XPLUXS
8501,IP Salaries LCY,IPSAL
8502,IP Salaries FCY,IPSAL
6902,Individual Unauth OD FCY,IND Unauth FCY
7001,Corporate Unauth OD LCY,CORUNOD LCY
7002,Corporate Unauth OD FCY,CorpUnau DO
8602,Visa Suspense,VISSU
6201,Domestic FCA LCY,DOMFCA
6501,Nostro FCA Transitory LCY,NOST
2100,ZWL TREASURY BILLS,ZWL TB
9997,RTGS ZWL Clearing,RZC
9998,RTGS USD Clearing,RUC
9001,NMB Channels Suspense  Accs LCY,NMBINT
9002,NMB Channels Suspense Accs FCY,NMBINTFCY
9101,IMT TAX OTHER LCY,IMTO
9102,IMT TAX OTHER FCY,OMTOF
9201,NMB EFT Payments LCY,NMBEFT
9202,NMB EFT Payments FCY,nmbeft2
9301,BILL PAYMENTS LCY,BILLLCY
9302,BILL PAYMENTS,BILLFCY
9401,RTGS CLEARING DIGITAL LCY,9401
9402,RTGS CLEARING DIGITAL FCY,9402
1001,NNCDs Purchase and Sale LCY,NNCD LCY
1002,NNCDs Purchase and Sale FCY,NNCDs
1101,Treasury Bills  Purchase and Sale LCY,TREA
1102,Treasury Bills Purchase and Sale FCY,TREAS
1202,Offshore Interbank Placements,OIP
